term,definition
longsoran salju,"Massa salju yang meluncur cepat di lereng."
badai debu,"Angin kencang yang membawa debu dalam jumlah besar."
badai pasir,"Angin kencang yang membawa pasir di daerah gurun."
mikroburst,"Arus udara turun kuat dari badai petir."
downburst,"Arus udara turun yang merusak dari awan badai."
iklim,"Rata-rata kondisi cuaca jangka panjang di suatu wilayah."
cuaca,"Kondisi atmosfer jangka pendek di suatu tempat."
meteorologi,"Ilmu yang mempelajari atmosfer dan cuaca."
klimatologi,"Cabang ilmu yang mempelajari iklim."
prakiraan cuaca,"Prediksi kondisi cuaca di masa depan."
nowcasting,"Prakiraan cuaca jangka sangat pendek berbasis data real-time."
ENSO,"El Niño–Southern Oscillation, pola iklim di Pasifik."
NAO,"North Atlantic Oscillation, pola variabilitas iklim Atlantik."
PDO,"Pacific Decadal Oscillation, fluktuasi laut jangka panjang."
ITCZ,"Daerah konvergensi angin pasat di sekitar ekuator."
radiosonde,"Instrumen balon untuk mengukur data atmosfer."
citra satelit,"Gambar dari satelit untuk memantau cuaca."
radar doppler,"Radar untuk mengukur curah hujan dan kecepatan angin."
albedo,"Persentase cahaya matahari yang dipantulkan permukaan."
efek rumah kaca,"Perangkap panas oleh gas-gas di atmosfer."
pemanasan global,"Kenaikan suhu rata-rata bumi dalam jangka panjang."
perubahan iklim,"Perubahan pola iklim global atau regional."
lapisan ozon,"Lapisan ozon di stratosfer yang menyerap radiasi UV."
troposfer,"Lapisan atmosfer terendah tempat cuaca terjadi."
stratosfer,"Lapisan atmosfer di atas troposfer."
mesosfer,"Lapisan atmosfer di atas stratosfer."
termosfer,"Lapisan atmosfer di atas mesosfer."
eksosfer,"Lapisan atmosfer terluar bumi."
indeks panas,"Suhu yang dirasakan akibat kombinasi panas dan kelembapan."
wind chill,"Suhu yang dirasakan lebih dingin karena angin."
massa udara,"Sejumlah besar udara dengan sifat seragam."
massa udara kontinental,"Massa udara yang terbentuk di daratan."
massa udara maritim,"Massa udara yang terbentuk di lautan."
massa udara tropis,"Massa udara yang terbentuk di daerah hangat."
massa udara kutub,"Massa udara yang terbentuk di daerah dingin."
visibilitas,"Jarak pandang yang jelas di atmosfer."
anomali suhu,"Perbedaan suhu dari rata-rata normal."
anomali curah hujan,"Perbedaan curah hujan dari rata-rata normal."
iklim mikro,"Kondisi iklim lokal dalam skala kecil."
iklim regional,"Kondisi iklim dalam wilayah tertentu."
iklim global,"Kondisi iklim rata-rata seluruh bumi."
